strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,111,63,57,2091,651,100,0
Flat100,none,any,10,73,43,59,2225,527,100,0
Flat100,none,any,15,48,29,60,2019,487,100,0
Flat100,none,any,20,27,14,52,1040,685,100,0
Flat100,none,any,25,15,8,53,846,309,100,0
Flat100,none,any,30,4,2,50,970,135,100,0
Flat100,none,any,35,1,1,100,1105,0,100,0
Flat100,none,any,40,0,0,0,1000,0,0,0
Flat100,none,any,45,0,0,0,1000,0,0,0
Flat100,none,any,50,0,0,0,1000,0,0,0
Flat100,none,any,75,0,0,0,1000,0,0,0
Flat100,none,underdog,5,54,27,50,2261,631,100,0
Flat100,none,underdog,10,34,19,56,2367,485,100,0
Flat100,none,underdog,15,23,13,57,2022,404,100,0
Flat100,none,underdog,20,11,5,45,1260,400,100,0
Flat100,none,underdog,25,4,2,50,1007,100,100,0
Flat100,none,underdog,30,1,1,100,1105,0,100,0
Flat100,none,underdog,35,1,1,100,1105,0,100,0
Flat100,none,underdog,40,0,0,0,1000,0,0,0
Flat100,none,underdog,45,0,0,0,1000,0,0,0
Flat100,none,underdog,50,0,0,0,1000,0,0,0
Flat100,none,underdog,75,0,0,0,1000,0,0,0
Flat100,none,favorite,5,52,34,65,953,388,100,0
Flat100,none,favorite,10,37,23,62,868,340,100,0
Flat100,none,favorite,15,24,15,63,907,433,100,0
Flat100,none,favorite,20,15,8,53,690,505,100,0
Flat100,none,favorite,25,10,5,50,749,404,100,0
Flat100,none,favorite,30,3,1,33,865,135,100,0
Flat100,none,favorite,35,0,0,0,1000,0,0,0
Flat100,none,favorite,40,0,0,0,1000,0,0,0
Flat100,none,favorite,45,0,0,0,1000,0,0,0
Flat100,none,favorite,50,0,0,0,1000,0,0,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Pct5,none,any,5,111,63,57,1474,558,94,0
Pct5,none,any,10,73,43,59,1651,522,105,0
Pct5,none,any,15,48,29,60,1539,473,98,0
Pct5,none,any,20,27,14,52,977,410,68,0
Pct5,none,any,25,15,8,53,913,158,52,0
Pct5,none,any,30,4,2,50,981,68,50,0
Pct5,none,any,35,1,1,100,1053,0,50,0
Pct5,none,any,40,0,0,0,1000,0,0,0
Pct5,none,any,45,0,0,0,1000,0,0,0
Pct5,none,any,50,0,0,0,1000,0,0,0
Pct5,none,any,75,0,0,0,1000,0,0,0
Pct5,none,underdog,5,54,27,50,1673,635,109,0
Pct5,none,underdog,10,34,19,56,1827,517,116,0
Pct5,none,underdog,15,23,13,57,1570,374,97,0
Pct5,none,underdog,20,11,5,45,1105,254,68,0
Pct5,none,underdog,25,4,2,50,998,54,53,0
Pct5,none,underdog,30,1,1,100,1053,0,50,0
Pct5,none,underdog,35,1,1,100,1053,0,50,0
Pct5,none,underdog,40,0,0,0,1000,0,0,0
Pct5,none,underdog,45,0,0,0,1000,0,0,0
Pct5,none,underdog,50,0,0,0,1000,0,0,0
Pct5,none,underdog,75,0,0,0,1000,0,0,0
Pct5,none,favorite,5,52,34,65,942,200,55,0
Pct5,none,favorite,10,37,23,62,910,190,55,0
