strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,31,12,39,0,1116,100,0
Flat100,none,any,10,66,35,53,996,956,100,0
Flat100,none,any,15,34,20,59,1056,388,100,0
Flat100,none,any,20,19,9,47,701,428,100,0
Flat100,none,any,25,6,2,33,735,300,100,0
Flat100,none,any,30,4,2,50,935,100,100,0
Flat100,none,any,35,2,1,50,958,100,100,0
Flat100,none,any,40,1,1,100,1058,0,100,0
Flat100,none,any,45,1,1,100,1058,0,100,0
Flat100,none,any,50,0,0,0,1000,0,0,0
Flat100,none,any,75,0,0,0,1000,0,0,0
Flat100,none,any,100,0,0,0,1000,0,0,0
Flat100,none,any,125,0,0,0,1000,0,0,0
Flat100,none,any,150,0,0,0,1000,0,0,0
Flat100,none,any,200,0,0,0,1000,0,0,0
Flat100,none,any,225,0,0,0,1000,0,0,0
Flat100,none,any,250,0,0,0,1000,0,0,0
Flat100,none,any,275,0,0,0,1000,0,0,0
Flat100,none,any,300,0,0,0,1000,0,0,0
Flat100,none,any,325,0,0,0,1000,0,0,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,375,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,17,3,18,0,1129,100,0
Flat100,none,underdog,10,35,14,40,956,700,100,0
Flat100,none,underdog,15,14,7,50,1168,400,100,0
Flat100,none,underdog,20,9,4,44,948,300,100,0
Flat100,none,underdog,25,2,0,0,800,200,100,0
Flat100,none,underdog,30,0,0,0,1000,0,0,0
Flat100,none,underdog,35,0,0,0,1000,0,0,0
Flat100,none,underdog,40,0,0,0,1000,0,0,0
Flat100,none,underdog,45,0,0,0,1000,0,0,0
Flat100,none,underdog,50,0,0,0,1000,0,0,0
Flat100,none,underdog,75,0,0,0,1000,0,0,0
Flat100,none,underdog,100,0,0,0,1000,0,0,0
Flat100,none,underdog,125,0,0,0,1000,0,0,0
Flat100,none,underdog,150,0,0,0,1000,0,0,0
Flat100,none,underdog,200,0,0,0,1000,0,0,0
Flat100,none,underdog,225,0,0,0,1000,0,0,0
Flat100,none,underdog,250,0,0,0,1000,0,0,0
Flat100,none,underdog,275,0,0,0,1000,0,0,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,325,0,0,0,1000,0,0,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,375,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,58,37,64,816,650,100,0
Flat100,none,favorite,10,31,21,68,1040,308,100,0
Flat100,none,favorite,15,20,13,65,888,358,100,0
Flat100,none,favorite,20,10,5,50,753,300,100,0
Flat100,none,favorite,25,4,2,50,935,100,100,0
Flat100,none,favorite,30,4,2,50,935,100,100,0
Flat100,none,favorite,35,2,1,50,958,100,100,0
Flat100,none,favorite,40,1,1,100,1058,0,100,0
Flat100,none,favorite,45,1,1,100,1058,0,100,0
Flat100,none,favorite,50,0,0,0,1000,0,0,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Flat100,none,favorite,100,0,0,0,1000,0,0,0
Flat100,none,favorite,125,0,0,0,1000,0,0,0
Flat100,none,favorite,150,0,0,0,1000,0,0,0
Flat100,none,favorite,200,0,0,0,1000,0,0,0
Flat100,none,favorite,225,0,0,0,1000,0,0,0
Flat100,none,favorite,250,0,0,0,1000,0,0,0
Flat100,none,favorite,275,0,0,0,1000,0,0,0
Flat100,none,favorite,300,0,0,0,1000,0,0,0
Flat100,none,favorite,325,0,0,0,1000,0,0,0
Flat100,none,favorite,350,0,0,0,1000,0,0,0
Flat100,none,favorite,375,0,0,0,1000,0,0,0
Flat100,none,favorite,400,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,0,0,0,1000,0,0,0
Flat100,4+4-,any,10,0,0,0,1000,0,0,0
Flat100,4+4-,any,15,0,0,0,1000,0,0,0
Flat100,4+4-,any,20,0,0,0,1000,0,0,0
Flat100,4+4-,any,25,0,0,0,1000,0,0,0
Flat100,4+4-,any,30,0,0,0,1000,0,0,0
Flat100,4+4-,any,35,0,0,0,1000,0,0,0
Flat100,4+4-,any,40,0,0,0,1000,0,0,0
Flat100,4+4-,any,45,0,0,0,1000,0,0,0
Flat100,4+4-,any,50,0,0,0,1000,0,0,0
Flat100,4+4-,any,75,0,0,0,1000,0,0,0
Flat100,4+4-,any,100,0,0,0,1000,0,0,0
Flat100,4+4-,any,125,0,0,0,1000,0,0,0
Flat100,4+4-,any,150,0,0,0,1000,0,0,0
Flat100,4+4-,any,200,0,0,0,1000,0,0,0
Flat100,4+4-,any,225,0,0,0,1000,0,0,0
Flat100,4+4-,any,250,0,0,0,1000,0,0,0
Flat100,4+4-,any,275,0,0,0,1000,0,0,0
Flat100,4+4-,any,300,0,0,0,1000,0,0,0
Flat100,4+4-,any,325,0,0,0,1000,0,0,0
Flat100,4+4-,any,350,0,0,0,1000,0,0,0
Flat100,4+4-,any,375,0,0,0,1000,0,0,0
Flat100,4+4-,any,400,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,5,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,10,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,15,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,20,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,25,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,30,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,35,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,40,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,45,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,50,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,75,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,100,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,125,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,150,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,200,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,225,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,250,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,275,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,300,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,325,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,350,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,375,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,400,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,5,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,10,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,15,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,20,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,25,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,30,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,35,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,40,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,45,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,50,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,75,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,100,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,125,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,150,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,200,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,225,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,250,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,275,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,300,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,325,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,350,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,375,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,400,0,0,0,1000,0,0,0
Flat100,5+5-,any,5,0,0,0,1000,0,0,0
Flat100,5+5-,any,10,0,0,0,1000,0,0,0
Flat100,5+5-,any,15,0,0,0,1000,0,0,0
Flat100,5+5-,any,20,0,0,0,1000,0,0,0
Flat100,5+5-,any,25,0,0,0,1000,0,0,0
Flat100,5+5-,any,30,0,0,0,1000,0,0,0
Flat100,5+5-,any,35,0,0,0,1000,0,0,0
Flat100,5+5-,any,40,0,0,0,1000,0,0,0
Flat100,5+5-,any,45,0,0,0,1000,0,0,0
Flat100,5+5-,any,50,0,0,0,1000,0,0,0
Flat100,5+5-,any,75,0,0,0,1000,0,0,0
Flat100,5+5-,any,100,0,0,0,1000,0,0,0
Flat100,5+5-,any,125,0,0,0,1000,0,0,0
Flat100,5+5-,any,150,0,0,0,1000,0,0,0
Flat100,5+5-,any,200,0,0,0,1000,0,0,0
Flat100,5+5-,any,225,0,0,0,1000,0,0,0
Flat100,5+5-,any,250,0,0,0,1000,0,0,0
Flat100,5+5-,any,275,0,0,0,1000,0,0,0
Flat100,5+5-,any,300,0,0,0,1000,0,0,0
Flat100,5+5-,any,325,0,0,0,1000,0,0,0
Flat100,5+5-,any,350,0,0,0,1000,0,0,0
Flat100,5+5-,any,375,0,0,0,1000,0,0,0
Flat100,5+5-,any,400,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,5,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,10,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,15,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,20,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,25,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,30,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,35,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,40,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,45,0,0,0,1000,0,0,0
